00|75.518.289/5908-84|Empresa Versao2 01 LTDA|(48) 94113-6042
01|NFE|01-0001|2477.39
02|1|Item 504|372.96
03|1|Grupo 09|
03|2|Classe 43|
02|2|Pacote 882|425.08
03|1|Grupo 28|
03|2|Categoria 04|
03|3|Classe 70|
03|4|Classe 94|
02|3|Serviço 148|384.89
03|1|Categoria 37|
03|2|Categoria 28|
02|4|Peça 721|383.93
03|1|Categoria 01|
02|5|Produto 835|77.74
03|1|Tipo 94|
03|2|Classe 61|
03|3|Categoria 72|
02|6|Assinatura 441|57.06
03|1|Tipo 06|
03|2|Grupo 13|
03|3|Grupo 76|
03|4|Classe 68|
02|7|Licença 928|115.26
03|1|Grupo 03|
03|2|Grupo 74|
03|3|Tipo 70|
03|4|Grupo 43|
02|8|Pacote 676|399.98
03|1|Classe 41|
02|9|Componente 765|87.26
03|1|Categoria 82|
03|2|Categoria 27|
03|3|Categoria 78|
03|4|Classe 55|
02|10|Produto 189|173.23
03|1|Tipo 14|
03|2|Grupo 82|
01|CTRC|01-0002|2300.50
02|1|Peça 509|385.79
03|1|Categoria 87|
03|2|Categoria 39|
03|3|Classe 46|
02|2|Componente 777|278.85
03|1|Tipo 85|
02|3|Licença 527|72.51
03|1|Grupo 10|
03|2|Classe 65|
02|4|Licença 663|86.38
03|1|Tipo 47|
03|2|Tipo 21|
03|3|Categoria 11|
02|5|Item 745|295.90
03|1|Grupo 54|
02|6|Item 566|89.88
03|1|Grupo 34|
03|2|Tipo 73|
02|7|Item 741|282.01
03|1|Classe 87|
02|8|Serviço 520|86.11
03|1|Tipo 82|
03|2|Grupo 55|
03|3|Tipo 22|
03|4|Tipo 50|
02|9|Pacote 957|247.18
03|1|Grupo 97|
03|2|Categoria 82|
03|3|Grupo 95|
02|10|Peça 232|475.89
03|1|Tipo 54|
03|2|Categoria 50|
01|NFE|01-0003|2133.23
02|1|Componente 754|115.57
03|1|Categoria 63|
02|2|Pacote 645|164.56
03|1|Tipo 10|
02|3|Produto 127|170.49
03|1|Categoria 22|
02|4|Licença 026|394.37
03|1|Grupo 56|
03|2|Categoria 88|
03|3|Grupo 20|
03|4|Categoria 10|
02|5|Serviço 718|479.14
03|1|Grupo 59|
03|2|Grupo 94|
03|3|Grupo 54|
02|6|Item 401|467.09
03|1|Grupo 15|
03|2|Tipo 71|
02|7|Licença 330|256.82
03|1|Categoria 68|
03|2|Grupo 92|
03|3|Tipo 93|
02|8|Assinatura 053|85.19
03|1|Grupo 23|
03|2|Tipo 63|
03|3|Classe 41|
03|4|Tipo 48|
01|CTRC|01-0004|1603.76
02|1|Componente 287|96.78
03|1|Classe 02|
03|2|Grupo 68|
03|3|Classe 36|
03|4|Tipo 07|
02|2|Serviço 932|312.59
03|1|Categoria 49|
03|2|Tipo 13|
03|3|Tipo 83|
03|4|Tipo 26|
02|3|Produto 573|229.95
03|1|Categoria 63|
03|2|Tipo 45|
02|4|Licença 841|128.59
03|1|Classe 13|
03|2|Classe 08|
02|5|Assinatura 010|65.50
03|1|Grupo 89|
03|2|Categoria 70|
03|3|Tipo 88|
03|4|Classe 78|
02|6|Item 251|185.42
03|1|Classe 91|
03|2|Categoria 94|
03|3|Categoria 43|
03|4|Classe 96|
02|7|Pacote 720|244.34
03|1|Classe 27|
03|2|Tipo 71|
02|8|Produto 902|340.59
03|1|Tipo 00|
03|2|Classe 12|
01|NFS|01-0005|1924.09
02|1|Pacote 639|210.24
03|1|Grupo 30|
03|2|Classe 60|
02|2|Componente 632|227.38
03|1|Grupo 37|
03|2|Tipo 69|
02|3|Item 422|49.00
03|1|Classe 92|
03|2|Categoria 22|
03|3|Grupo 29|
02|4|Pacote 458|146.71
03|1|Classe 18|
02|5|Assinatura 712|34.25
03|1|Tipo 22|
03|2|Classe 12|
03|3|Tipo 43|
03|4|Classe 14|
02|6|Componente 272|442.44
03|1|Grupo 01|
03|2|Tipo 07|
02|7|Produto 189|336.92
03|1|Categoria 23|
03|2|Tipo 00|
03|3|Classe 41|
02|8|Assinatura 053|477.15
03|1|Grupo 90|
01|CTRC|01-0006|1444.72
02|1|Peça 876|350.09
03|1|Classe 03|
03|2|Classe 78|
02|2|Licença 755|46.09
03|1|Grupo 88|
03|2|Categoria 42|
03|3|Tipo 56|
